"DATE_ID","DATE","WEEK_DAY","TEN_DAYS","FORTNIGHT","MONTH_NUMBER","MONTH","BIMESTER","QUARTER","SEMESTER","YEAR"
19700922,22/09/70,"Terça-Feira",3,2,9,"Setembro",5,3,5,1970
19700923,23/09/70,"Quarta-Feira",3,2,9,"Setembro",5,3,5,1970
19700924,24/09/70,"Quinta-Feira",3,2,9,"Setembro",5,3,5,1970
19700925,25/09/70,"Sexta-Feira",3,2,9,"Setembro",5,3,5,1970
19700926,26/09/70,"Sábado",3,2,9,"Setembro",5,3,5,1970
19700927,27/09/70,"Domingo",3,2,9,"Setembro",5,3,5,1970
19700928,28/09/70,"Segunda-Feira",3,2,9,"Setembro",5,3,5,1970
19700929,29/09/70,"Terça-Feira",3,2,9,"Setembro",5,3,5,1970
19700930,30/09/70,"Quarta-Feira",3,2,9,"Setembro",5,3,5,1970
19701001,01/10/70,"Quinta-Feira",1,1,10,"Outubro",5,3,5,1970
19701002,02/10/70,"Sexta-Feira",1,1,10,"Outubro",5,3,5,1970
19701003,03/10/70,"Sábado",1,1,10,"Outubro",5,3,5,1970
19701004,04/10/70,"Domingo",1,1,10,"Outubro",5,3,5,1970
19701005,05/10/70,"Segunda-Feira",1,1,10,"Outubro",5,3,5,1970
19701006,06/10/70,"Terça-Feira",1,1,10,"Outubro",5,3,5,1970
19701007,07/10/70,"Quarta-Feira",1,1,10,"Outubro",5,3,5,1970
19701008,08/10/70,"Quinta-Feira",1,1,10,"Outubro",5,3,5,1970
19701009,09/10/70,"Sexta-Feira",1,1,10,"Outubro",5,3,5,1970
19701010,10/10/70,"Sábado",1,1,10,"Outubro",5,3,5,1970
19701011,11/10/70,"Domingo",2,1,10,"Outubro",5,3,5,1970
19701012,12/10/70,"Segunda-Feira",2,1,10,"Outubro",5,3,5,1970
19701013,13/10/70,"Terça-Feira",2,1,10,"Outubro",5,3,5,1970
19701014,14/10/70,"Quarta-Feira",2,1,10,"Outubro",5,3,5,1970
19701015,15/10/70,"Quinta-Feira",2,1,10,"Outubro",5,3,5,1970
19701016,16/10/70,"Sexta-Feira",2,2,10,"Outubro",5,3,5,1970
19701017,17/10/70,"Sábado",2,2,10,"Outubro",5,3,5,1970
19701018,18/10/70,"Domingo",2,2,10,"Outubro",5,3,5,1970
19701019,19/10/70,"Segunda-Feira",2,2,10,"Outubro",5,3,5,1970
19701020,20/10/70,"Terça-Feira",2,2,10,"Outubro",5,3,5,1970
19701021,21/10/70,"Quarta-Feira",3,2,10,"Outubro",5,3,5,1970
19701022,22/10/70,"Quinta-Feira",3,2,10,"Outubro",5,3,5,1970
19701023,23/10/70,"Sexta-Feira",3,2,10,"Outubro",5,3,5,1970
19701024,24/10/70,"Sábado",3,2,10,"Outubro",5,3,5,1970
19701025,25/10/70,"Domingo",3,2,10,"Outubro",5,3,5,1970
19701026,26/10/70,"Segunda-Feira",3,2,10,"Outubro",5,3,5,1970
